지표유형,기준,분리기준,분리값,학년,전환구간,잔존인원,잔존율(%),신규진입인원,다음학년진입인원,학년이탈인원,학년이탈률(%),도달단계,도달인원,도달률(%),대상인원,병합의심률(%),관측시즌범위,신뢰한계문구
학년잔존,빙상 전체 기준,시작시즌대,2006~2009,10,,212,54.36,25,187,25,11.79,,,,390,0.0,2006~2009,
학년잔존,빙상 전체 기준,시작시즌대,2006~2009,11,,222,54.01,21,197,25,11.26,,,,411,0.0,2006~2009,
학년잔존,빙상 전체 기준,시작시즌대,2006~2009,12,12→13,229,52.64,24,200,29,12.66,,,,435,0.0,2006~2009,
학년잔존,빙상 전체 기준,시작시즌대,2006~2009,13,,221,49.33,13,184,37,16.74,,,,448,0.0,2006~2009,최신 학년은 관측기간 부족으로 이탈률이 과대 추정될 수 있습니다.
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,1,,14,100.0,14,13,1,7.14,,,,14,0.0,2010~2013,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,2,,58,98.31,45,52,6,10.34,,,,59,0.0,2010~2013,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,3,,121,94.53,69,94,27,22.31,,,,128,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,4,,155,82.45,60,133,22,14.19,,,,188,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,5,,184,78.97,45,157,27,14.67,,,,233,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,6,6→7,203,74.09,41,166,37,18.23,,,,274,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,7,,191,64.53,22,154,37,19.37,,,,296,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,8,,171,54.98,15,138,33,19.3,,,,311,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,9,9→10,161,48.64,20,146,15,9.32,,,,331,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,10,,157,46.18,9,136,21,13.38,,,,340,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,11,,145,41.67,8,127,18,12.41,,,,348,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,12,12→13,137,38.48,8,103,34,24.82,,,,356,0.0,2010~2013,
학년잔존,빙상 전체 기준,시작시즌대,2010~2013,13,,106,29.61,2,90,16,15.09,,,,358,0.0,2010~2013,최신 학년은 관측기간 부족으로 이탈률이 과대 추정될 수 있습니다.
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,1,,23,100.0,23,20,3,13.04,,,,23,0.0,2014~2017,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,2,,65,95.59,45,55,10,15.38,,,,68,0.0,2014~2017,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,3,,107,89.17,52,94,13,12.15,,,,120,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,4,,176,88.89,78,157,19,10.8,,,,198,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,5,,205,84.36,45,186,19,9.27,,,,243,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,6,6→7,240,81.08,53,194,46,19.17,,,,296,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,7,,217,68.03,23,163,54,24.88,,,,319,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,8,,179,53.92,13,158,21,11.73,,,,332,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,9,9→10,173,50.14,13,138,35,20.23,,,,345,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,10,,144,41.26,4,118,26,18.06,,,,349,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,11,,125,35.21,6,99,26,20.8,,,,355,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,12,12→13,105,29.17,5,69,36,34.29,,,,360,0.0,2014~2017,
학년잔존,빙상 전체 기준,시작시즌대,2014~2017,13,,74,20.33,4,48,26,35.14,,,,364,0.0,2014~2017,최신 학년은 관측기간 부족으로 이탈률이 과대 추정될 수 있습니다.
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,1,,17,100.0,17,16,1,5.88,,,,17,0.0,2018~2021,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,2,,70,98.59,54,58,12,17.14,,,,71,0.0,2018~2021,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,3,,112,89.6,54,92,20,17.86,,,,125,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,4,,167,83.92,74,141,26,15.57,,,,199,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,5,,200,78.12,57,167,33,16.5,,,,256,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,6,6→7,225,72.82,53,197,28,12.44,,,,309,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,7,,213,65.74,15,165,48,22.54,,,,324,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,8,,180,53.41,13,146,34,18.89,,,,337,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,9,9→10,158,45.66,9,112,46,29.11,,,,346,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,10,,117,33.52,3,76,41,35.04,,,,349,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,11,,78,22.29,1,45,33,42.31,,,,350,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,12,12→13,47,13.35,2,22,25,53.19,,,,352,0.0,2018~2021,
학년잔존,빙상 전체 기준,시작시즌대,2018~2021,13,,23,6.52,1,7,16,69.57,,,,353,0.0,2018~2021,최신 학년은 관측기간 부족으로 이탈률이 과대 추정될 수 있습니다.
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,1,,15,100.0,15,13,2,13.33,,,,15,0.0,2022~2025,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,2,,63,96.92,50,47,16,25.4,,,,65,0.0,2022~2025,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,3,,91,83.49,44,69,22,24.18,,,,109,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,4,,122,76.25,51,77,45,36.89,,,,160,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,5,,113,58.25,34,68,45,39.82,,,,194,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,6,6→7,122,49.39,53,67,55,45.08,,,,247,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,7,,87,32.58,20,46,41,47.13,,,,267,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,8,,54,19.64,8,23,31,57.41,,,,275,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,9,9→10,36,12.5,13,22,14,38.89,,,,288,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,10,,31,10.44,9,13,18,58.06,,,,297,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,11,,15,5.02,2,8,7,46.67,,,,299,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,12,12→13,10,3.32,2,4,6,60.0,,,,301,0.0,2022~2025,
학년잔존,빙상 전체 기준,시작시즌대,2022~2025,13,,4,1.33,0,0,4,100.0,,,,301,0.0,2022~2025,최신 학년은 관측기간 부족으로 이탈률이 과대 추정될 수 있습니다.
학년잔존,빙상 전체 기준,시작시즌대,2026~2029,2,,2,100.0,2,0,2,100.0,,,,2,0.0,2026,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2026~2029,3,,4,66.67,4,0,4,100.0,,,,6,0.0,2026,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2026~2029,4,,4,40.0,4,0,4,100.0,,,,10,0.0,2026,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2026~2029,5,,4,28.57,4,0,4,100.0,,,,14,0.0,2026,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
학년잔존,빙상 전체 기준,시작시즌대,2026~2029,6,6→7,5,26.32,5,0,5,100.0,,,,19,0.0,2026,표본이 100명 미만이라 해석 신뢰도가 낮습니다. 최신 학년은 관측기간 부족으로 이탈률이 과대 추정될 수 있습니다.
단계도달,쇼트트랙 기준,전체,전체,,,,,,,,,중등,1104,73.55,1501,0.0,2006~2026,
단계도달,쇼트트랙 기준,전체,전체,,,,,,,,,고등,688,53.88,1277,0.0,2006~2026,
단계도달,쇼트트랙 기준,전체,전체,,,,,,,,,대학·일반,373,37.64,991,0.0,2006~2026,
단계도달,쇼트트랙 기준,성별,남,,,,,,,,,중등,640,72.15,887,0.0,2006~2026,
단계도달,쇼트트랙 기준,성별,남,,,,,,,,,고등,415,54.82,757,0.0,2006~2026,
단계도달,쇼트트랙 기준,성별,남,,,,,,,,,대학·일반,250,41.46,603,0.0,2006~2026,
단계도달,쇼트트랙 기준,성별,여,,,,,,,,,중등,464,75.57,614,0.0,2006~2026,
단계도달,쇼트트랙 기준,성별,여,,,,,,,,,고등,273,52.5,520,0.0,2006~2026,
단계도달,쇼트트랙 기준,성별,여,,,,,,,,,대학·일반,123,31.7,388,0.0,2006~2026,
단계도달,쇼트트랙 기준,시작학년,1,,,,,,,,,중등,32,56.14,57,0.0,2006~2025,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
단계도달,쇼트트랙 기준,시작학년,1,,,,,,,,,고등,19,51.35,37,0.0,2006~2025,표본이 100명 미만이라 해석 신뢰도가 낮습니다.
