지표유형,성별,거리,학년,백분위구간,표본N,향상폭_p25(초),향상폭_p50(초),향상폭_p75(초),평균향상폭(초),예측단계,향상속도_AUC(%),백분위_AUC(%),예측력차이(AUC%p),신뢰한계문구
기준선,남,1000,32,전체,1,1.3,1.3,1.3,1.3,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,33,전체,1,2.46,2.46,2.46,2.46,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,36,전체,1,1.33,1.33,1.33,1.33,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1000,38,전체,2,1.542,2.413,3.284,2.413,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,1,전체,2,-1.777,2.012,5.802,2.012,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,2,전체,34,-0.911,9.339,17.959,7.489,,,,,
기준선,남,1500,3,전체,64,-8.717,1.744,11.482,3.12,,,,,
기준선,남,1500,4,전체,84,-1.999,8.009,16.701,6.899,,,,,
기준선,남,1500,5,전체,102,-3.771,4.021,14.381,5.515,,,,,
기준선,남,1500,6,전체,88,-5.792,9.497,18.194,7.325,,,,,
기준선,남,1500,7,전체,89,-5.035,2.162,12.648,2.464,,,,,
기준선,남,1500,8,전체,87,-8.448,4.232,13.736,4.634,,,,,
기준선,남,1500,9,전체,70,-1.397,5.867,15.823,6.092,,,,,
기준선,남,1500,10,전체,70,-10.467,-0.392,8.837,1.033,,,,,
기준선,남,1500,11,전체,62,-3.933,2.016,12.689,3.609,,,,,
기준선,남,1500,12,전체,42,-7.741,-2.332,3.3,-2.705,,,,,
기준선,남,1500,13,전체,50,-10.825,-0.395,7.547,-1.198,,,,,
기준선,남,1500,14,전체,48,-8.779,-0.853,7.783,0.377,,,,,
기준선,남,1500,15,전체,32,-10.183,-4.168,3.173,-8.763,,,,,
기준선,남,1500,16,전체,27,-10.729,-0.957,5.786,3.564,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,17,전체,33,-9.005,-3.238,2.307,-2.501,,,,,
기준선,남,1500,18,전체,20,-5.944,-3.522,6.766,0.836,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,19,전체,19,-8.24,-1.697,8.527,-3.16,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,20,전체,9,-5.571,-3.617,2.306,-3.07,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,21,전체,6,-5.889,0.053,8.198,-0.461,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,22,전체,6,-11.863,-3.623,8.004,8.235,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,23,전체,3,-27.752,-23.505,-18.854,-23.235,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,24,전체,2,-16.319,-9.071,-1.824,-9.072,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,25,전체,1,-4.439,-4.439,-4.439,-4.439,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,26,전체,2,-25.081,-11.392,2.298,-11.392,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,1500,27,전체,2,8.61,17.869,27.127,17.869,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
기준선,남,2000,2,전체,4,-15.317,-2.532,6.585,-6.2,,,,,표본이 30건 미만이라 해석 신뢰도가 낮습니다.
