원본표기,정규화키,학교급,출현횟수
대구가창초등학교,대구가창초등학교,초,1
대구강북초등학교,대구강북초등학교,초,1
대구교육대안동부설초등교,대구교육대안동부설초등교,기타,1
대구국제학교,대구국제학교,기타,1
대구노변초등학교,대구노변초등학교,초,1
대구대덕초등학교,대구대덕초등학교,초,1
대구대천초등학교,대구대천초등학교,초,1
대구덕인초등학교,대구덕인초등학교,초,1
대구동덕초등학교,대구동덕초등학교,초,1
대구매호초등학교,대구매호초등학교,초,1
대구방촌초등학교,대구방촌초등학교,초,1
대구복현초등학교,대구복현초등학교,초,1
대구빙상경기연맹,대구빙상경기연맹,실업,1
대구서도초등학교,대구서도초등학교,초,1
대구신암초등학교,대구신암초등학교,초,1
대구아양초등학교,대구아양초등학교,초,1
대구입석초등학교,대구입석초등학교,초,1
대구장기초등학교,대구장기초등학교,초,1
대구장동초등학교,대구장동초등학교,초,1
대구종로초등학교,대구종로초등학교,초,1
대구청림초등학교,대구청림초등학교,초,1
대구평리초등학교,대구평리초등학교,초,1
대구한의대학교,대구한의대학교,대,1
대구해서초등학교,대구해서초등학교,초,1
대구효명초등학교,대구효명초등학교,초,1
대구효목초등학교,대구효목초등학교,초,1
대길,대길,기타,1
대덕초,대덕초등학교,초,1
대덕초등학교,대덕초등학교,초,1
대도중학교,대도중학교,중,1
대도초등,대도초등,기타,1
대도초등학교,대도초등학교,초,1
대명초등학교,대명초등학교,초,1
대사초등학교,대사초등학교,초,1
대서중학교,대서중학교,중,1
대성여자중학교,대성여자중학교,중,1
대성초등,대성초등,기타,1
대성초등학교,대성초등학교,초,1
대신중학교,대신중학교,중,1
대안중학교,대안중학교,중,1
대자중학교,대자중학교,중,1
대자초등학교,대자초등학교,초,1
대저중학교,대저중학교,중,1
대전가오고등학교,대전가오고등학교,고,1
대전가장초등학교,대전가장초등학교,초,1
대전갑천초등학교,대전갑천초등학교,초,1
대전관저고등학,대전관저고등학,기타,1
대전관저고등학교,대전관저고등학교,고,1
대전괴정고등학교,대전괴정고등학교,고,1
대전괴정중학교,대전괴정중학교,중,1
대전글꽃중학교,대전글꽃중학교,중,1
대전글꽃초등학교,대전글꽃초등학교,초,1
대전남선,대전남선,기타,1
대전내동초,대전내동초등학교,초,1
대전내동초등학교,대전내동초등학교,초,1
대전대덕초등학교,대전대덕초등학교,초,1
대전도마초등학교,대전도마초등학교,초,1
대전동방고등학교,대전동방고등학교,고,1
대전동산고등학교,대전동산고등학교,고,1
대전동산초등학교,대전동산초등학교,초,1
대전동화중학교,대전동화중학교,중,1
대전목양초등학교,대전목양초등학교,초,1
대전반석초등학교,대전반석초등학교,초,1
대전버드내초,대전버드내초등학교,초,1
대전버드내초등학교,대전버드내초등학교,초,1
대전변동중학교,대전변동중학교,중,1
대전보덕초,대전보덕초등학교,초,1
대전복수고,대전복수고등학교,고,1
대전복수고등학교,대전복수고등학교,고,1
대전봉산중학교,대전봉산중학교,중,1
대전봉우중학교,대전봉우중학교,중,1
대전빙상연맹,대전빙상연맹,실업,1
대전삼천중학교,대전삼천중학교,중,1
대전상원초등학교,대전상원초등학교,초,1
대전서부초등학교,대전서부초등학교,초,1
대전성모여자고등학교,대전성모여자고등학교,고,1
대전성모초등학교,대전성모초등학교,초,1
대전수미초등학교,대전수미초등학교,초,1
대전수정초등학교,대전수정초등학교,초,1
대전이문고등학교,대전이문고등학교,고,1
대전태평초등학교,대전태평초등학교,초,1
대전피닉스,대전피닉스,기타,1
대진고등학교,대진고등학교,고,1
대치초등학교,대치초등학교,초,1
덕두초등학교,덕두초등학교,초,1
덕산초등학교,덕산초등학교,초,1
덕소중학교,덕소중학교,중,1
덕수초등학교,덕수초등학교,초,1
덕암초등학교,덕암초등학교,초,1
덕일전자공업고등학교,덕일전자공업고등학교,고,1
덕정고등학교,덕정고등학교,고,1
덕정초등학교,덕정초등학교,초,1
덕천초등학교,덕천초등학교,초,1
덕풍중학교,덕풍중학교,중,1
덕현고등학교,덕현고등학교,고,1
덕현초등학교,덕현초등학교,초,1
덕화중학교,덕화중학교,중,1
덜위치칼리지서울영국학교,덜위치칼리지서울영국학교,기타,1
데이리스포츠클럽,데이리스포츠클럽,실업,1
도계중학교,도계중학교,중,1
도농고등학교,도농고등학교,고,1
도농초,도농초등학교,초,1
도담고등학교,도담고등학교,고,1
도래울중학교,도래울중학교,중,1
도봉초등학교,도봉초등학교,초,1
도성초등학교,도성초등학교,초,1
도심병설유치원,도심병설유치원,기타,1
도원중학교,도원중학교,중,1
도촌중학교,도촌중학교,중,1
독정초등학교,독정초등학교,초,1
돌마고등학교,돌마고등학교,고,1
동광초등학교,동광초등학교,초,1
동교초,동교초등학교,초,1
동교초등학교,동교초등학교,초,1
동구여자중학교,동구여자중학교,중,1
동국대학교,동국대학교,대,1
동남초등학교,동남초등학교,초,1
동답초등학교,동답초등학교,초,1
동대문SLP유치원,동대문SLP유치원,기타,1
동대부속중학교,동대부속중학교,중,1
동덕여자고등학교,동덕여자고등학교,고,1
동두천여중,동두천여중학교,중,1
동마중학교,동마중학교,중,1
동방고등학교,동방고등학교,고,1
동백초등학교,동백초등학교,초,1
동부생명,동부생명,기타,1
동산유치원,동산유치원,기타,1
동산중학교,동산중학교,중,1
동산초등,동산초등,기타,1
동삼초등학교,동삼초등학교,초,1
동서대학교,동서대학교,대,1
동성고등학교,동성고등학교,고,1
동성중학교,동성중학교,중,1
동아여자고등학교,동아여자고등학교,고,1
동아중학교,동아중학교,중,1
동안초등학교,동안초등학교,초,1
동원과학기술대학교,동원과학기술대학교,대,1
동의초등하교,동의초등하교,기타,1
동인병설유치원,동인병설유치원,기타,1
동인초등하교,동인초등하교,기타,1
동일중앙초등학교,동일중앙초등학교,초,1
동자초,동자초등학교,초,1
동작중학교,동작중학교,중,1
동주초등학교,동주초등학교,초,1
동해중학교,동해중학교,중,1
동호초등학교,동호초등학교,초,1
동화나라유치원,동화나라유치원,기타,1
두암초,두암초등학교,초,1
둔촌초,둔촌초등학교,초,1
등촌중학교,등촌중학교,중,1
롯데월드,롯데월드,기타,1
리라아트고등학교,리라아트고등학교,고,1
리라초,리라초등학교,초,1
마로초등학교,마로초등학교,초,1
마장중학교,마장중학교,중,1
마장초등학교,마장초등학교,초,1
만덕고,만덕고등학교,고,1
만덕중학교,만덕중학교,중,1
만송유치원,만송유치원,기타,1
만수고등학교,만수고등학교,고,1
만천초,만천초등학교,초,1
망미중학교,망미중학교,중,1
망우초등,망우초등,기타,1
매동초,매동초등학교,초,1
매동초등학교,매동초등학교,초,1
매봉초등학교,매봉초등학교,초,1
매산초등학교,매산초등학교,초,1
매원고등학교,매원고등학교,고,1
매탄고등학교,매탄고등학교,고,1
매향여자정보고등학교,매향여자정보고등학교,고,1
매현초등학교,매현초등학교,초,1
매호초등학교,매호초등학교,초,1
매홀고등학교,매홀고등학교,고,1
먼우금초등학교,먼우금초등학교,초,1
메가패스,메가패스,기타,1
면남초등학교,면남초등학교,초,1
면목중학교,면목중학교,중,1
명도초등학교,명도초등학교,초,1
명신초등학교,명신초등학교,초,1
명인중학교,명인중학교,중,1
명일중학교,명일중학교,중,1
명지대학교 사회교육원,명지대학교사회교육원,기타,1
명지중학교,명지중학교,중,1
명지초등,명지초등,기타,1
명호초등학교,명호초등학교,초,1
모락고등학교,모락고등학교,고,1
모현초등학교,모현초등학교,초,1
목동고등학교,목동고등학교,고,1
목운,목운,기타,1
무등초등학교,무등초등학교,초,1
무학여자고등학교,무학여자고등학교,고,1
묵동초등학교,묵동초등학교,초,1
묵현초등,묵현초등,기타,1
문래,문래,기타,1
문래초,문래초등학교,초,1
문성고등학교,문성고등학교,고,1
문우초등학교,문우초등학교,초,1
문원중학교,문원중학교,중,1
문원초,문원초등학교,초,1
문정초등학교,문정초등학교,초,1
문학초,문학초등학교,초,1
물금중학교,물금중학교,중,1
물금초등학교,물금초등학교,초,1
미금중학교,미금중학교,중,1
미사강변고등학교,미사강변고등학교,고,1
미사강변중학교,미사강변중학교,중,1
미사중앙초등학교,미사중앙초등학교,초,1
미양중학교,미양중학교,중,1
미예뜰유치원,미예뜰유치원,기타,1
미원공업고등학교,미원공업고등학교,고,1
민락초,민락초등학교,초,1
박달중학교,박달중학교,중,1
박문중학교,박문중학교,중,1
반림중학교,반림중학교,중,1
반원초등학교,반원초등학교,초,1
반포자이유치원,반포자이유치원,기타,1
발곡중학교,발곡중학교,중,1
발곡초등학교,발곡초등학교,초,1
밤비니어학원,밤비니어학원,기타,1
방산고등학교,방산고등학교,고,1
방산초등학교,방산초등학교,초,1
방송통신대학교,방송통신대학교,대,1
방원중학교,방원중학교,중,1
방이중학교,방이중학교,중,1
방현초등학교,방현초등학교,초,1
배명중학교,배명중학교,중,1
배방고등학교,배방고등학교,고,1
배산초등학교,배산초등학교,초,1
배재중학교,배재중학교,중,1
배화여자고등학교,배화여자고등학교,고,1
배화여자중학교,배화여자중학교,중,1
백마중학교,백마중학교,중,1
백문초,백문초등학교,초,1
백산초등학교,백산초등학교,초,1
백석문화대학,백석문화대학,기타,1
백석문화대학교,백석문화대학교,대,1
백신초등학교,백신초등학교,초,1
백운중학교,백운중학교,중,1
백운호수초등학교,백운호수초등학교,초,1
백제고등학교,백제고등학교,고,1
백제초등학교,백제초등학교,초,1
번동초등학교,번동초등학교,초,1
번천초등학교,번천초등학교,초,1
범어초등학교,범어초등학교,초,1
변우신(탄천),변우신(탄천),기타,1
별래초등학교,별래초등학교,초,1
병점고등학교,병점고등학교,고,1
보광초등학교,보광초등학교,초,1
보라매초등학교,보라매초등학교,초,1
보성고등학교,보성고등학교,고,1
보평고등학교,보평고등학교,고,1
보평초,보평초등학교,초,1
봄내중학교,봄내중학교,중,1
봉덕초등학교,봉덕초등학교,초,1
봉선초등학교,봉선초등학교,초,1
봉일천중학교,봉일천중학교,중,1
봉하초등,봉하초등,기타,1
봉화초등,봉화초등,기타,1
부곡고등학교,부곡고등학교,고,1
부곡여자중학교,부곡여자중학교,중,1
부곡초등학교,부곡초등학교,초,1
부림초등학교,부림초등학교,초,1
부산강서고등학교,부산강서고등학교,고,1
부산광역시체육회,부산광역시체육회,실업,1
부산구포초등학교,부산구포초등학교,초,1
부산금빛초등학교,부산금빛초등학교,초,1
부산대신초등학교,부산대신초등학교,초,1
부산대천리초등학교,부산대천리초등학교,초,1
부산명덕초등학교,부산명덕초등학교,초,1
부산명호중학교,부산명호중학교,중,1
부산민락초등학교,부산민락초등학교,초,1
부산용수중학교,부산용수중학교,중,1
부산진여자상업고등학교,부산진여자상업고등학교,고,1
부산해운대중학교,부산해운대중학교,중,1
부산호암초등학교,부산호암초등학교,초,1
부산화교초등학교,부산화교초등학교,초,1
부안초학교,부안초학교,기타,1
부암초,부암초등학교,초,1
부양초등학교,부양초등학교,초,1
부일외국어고등학교,부일외국어고등학교,고,1
부천대명초등학교,부천대명초등학교,초,1
부천덕산초등학교,부천덕산초등학교,초,1
부천동여자중학교,부천동여자중학교,중,1
부천양지초등학교,부천양지초등학교,초,1
부천일신중학교,부천일신중학교,중,1
부천일신초등학교,부천일신초등학교,초,1
부흥중학교,부흥중학교,중,1
북삼초등학교,북삼초등학교,초,1
북수초,북수초등학교,초,1
분당고등학교,분당고등학교,고,1
분당박성희,분당박성희,기타,1
분당영덕여자고등학교,분당영덕여자고등학교,고,1
분당중학교,분당중학교,중,1
분포중학교,분포중학교,중,1
불당키즈칼리지유치원,불당키즈칼리지유치원,기타,1
불정초,불정초등학교,초,1
비봉고등학교,비봉고등학교,고,1
비산중학교,비산중학교,중,1
비아초등학교,비아초등학교,초,1
빛고을초등학교,빛고을초등학교,초,1
사내고등학교,사내고등학교,고,1
사능푸른유치원,사능푸른유치원,기타,1
사리울중학교,사리울중학교,중,1
사범대부설초등학교,사범대부설초등학교,초,1
사직고등학교,사직고등학교,고,1
사직초,사직초등학교,초,1
사천초등학교,사천초등학교,초,1
사파중학교,사파중학교,중,1
산남초등학교,산남초등학교,초,1
산본초등학교,산본초등학교,초,1
산울중학교,산울중학교,중,1
산의초등학교,산의초등학교,초,1
삼문고등학교,삼문고등학교,고,1
삼성유치원,삼성유치원,기타,1
삼송초등학교,삼송초등학교,초,1
삼육SDA어린이집,삼육SDA어린이집,기타,1
삼일공업고등학교,삼일공업고등학교,고,1
삼정자중학교,삼정자중학교,중,1
삼정초,삼정초등학교,초,1
삼천중학교,삼천중학교,중,1
삼천초,삼천초등학교,초,1
삼평중학교,삼평중학교,중,1
상계중학교,상계중학교,중,1
상계초등학교,상계초등학교,초,1
상곡초,상곡초등학교,초,1
상당초등학교,상당초등학교,초,1
상대원초등학교,상대원초등학교,초,1
상도초등학교,상도초등학교,초,1
상동중학교,상동중학교,중,1
상록중학교,상록중학교,중,1
상록초등학교,상록초등학교,초,1
상면병설유치원,상면병설유치원,기타,1
상명대부속초,상명대부속초등학교,초,1
상명대학교,상명대학교,대,1
상명대학교 사범대학 부속여자중학교,상명대학교사범대학부속여자중학교,중,1
상명대학교사범대학부속초등학교,상명대학교사범대학부속초등학교,초,1
상명사대부속여자중학교,상명사대부속여자중학교,중,1
상명사대부속여중,상명사대부속여중학교,중,1
상명초등,상명초등,기타,1
상봉초등학교,상봉초등학교,초,1
상사초등학교,상사초등학교,초,1
상색초등학교,상색초등학교,초,1
상아초등학교,상아초등학교,초,1
상암고등학교,상암고등학교,고,1
상암중학교,상암중학교,중,1
상원여자중학교,상원여자중학교,중,1
상월초등학교,상월초등학교,초,1
상인천여자중학교,상인천여자중학교,중,1
상인초등학교,상인초등학교,초,1
상일여자고등학교,상일여자고등학교,고,1
상지대학교,상지대학교,대,1
상지초,상지초등학교,초,1
상촌중학교,상촌중학교,중,1
새론초등학교,새론초등학교,초,1
새시대어린이집,새시대어린이집,기타,1
서감초등학교,서감초등학교,초,1
서강SLP,서강SLP,기타,1
서강중학교,서강중학교,중,1
서광중학교,서광중학교,중,1
서남대학교,서남대학교,대,1
서당초등학교,서당초등학교,초,1
서라벌고등학교,서라벌고등학교,고,1
서래초등학교,서래초등학교,초,1
서면중학교,서면중학교,중,1
서문여자고등학교,서문여자고등학교,고,1
서사부초등학교,서사부초등학교,초,1
서산여자중학교,서산여자중학교,중,1
서신초등학교,서신초등학교,초,1
서울MD,서울MD,기타,1
서울가락초등학교,서울가락초등학교,초,1
서울가인초등학교,서울가인초등학교,초,1
서울가재울중학교,서울가재울중학교,중,1
서울가재울초등학교,서울가재울초등학교,초,1
서울갈현초등학교,서울갈현초등학교,초,1
서울강동초등학교,서울강동초등학교,초,1
서울강명중학교,서울강명중학교,중,1
서울강서초등학교,서울강서초등학교,초,1
서울강월초등학교,서울강월초등학교,초,1
서울강일초등학교,서울강일초등학교,초,1
서울개웅초등학교,서울개웅초등학교,초,1
서울개화초등학교,서울개화초등학교,초,1
서울경복초등학교,서울경복초등학교,초,1
서울계상초등학교,서울계상초등학교,초,1
서울고등학교,서울고등학교,고,1
서울고원초등학교,서울고원초등학교,초,1
서울고현초등학교,서울고현초등학교,초,1
서울공릉초등학교,서울공릉초등학교,초,1
서울공진초등학교,서울공진초등학교,초,1
서울광운초등학교,서울광운초등학교,초,1
서울광희초등학교,서울광희초등학교,초,1
서울교대부속초,서울교대부속초등학교,초,1
서울교동초등학교,서울교동초등학교,초,1
서울구남초등학교,서울구남초등학교,초,1
서울구산중학교,서울구산중학교,중,1
서울구일초등학교,서울구일초등학교,초,1
서울국제크리스천아카데미,서울국제크리스천아카데미,기타,1
서울국제학교,서울국제학교,기타,1
서울길원초등학교,서울길원초등학교,초,1
서울난향초등학교,서울난향초등학교,초,1
서울남정초등학교,서울남정초등학교,초,1
서울남천초등학교,서울남천초등학교,초,1
서울노원초등학교,서울노원초등학교,초,1
서울노일초,서울노일초등학교,초,1
서울논현초등학교,서울논현초등학교,초,1
서울답십리초등학교,서울답십리초등학교,초,1
서울당현초등학교,서울당현초등학교,초,1
서울대림초등학교,서울대림초등학교,초,1
서울대명초등학교,서울대명초등학교,초,1
서울대사범대학부설초등학교,서울대사범대학부설초등학교,초,1
서울대사범부설초등학교,서울대사범부설초등학교,초,1
서울대학교,서울대학교,대,1
서울대학교사범부설초등학교,서울대학교사범부설초등학교,초,1
서울덕명초등학교,서울덕명초등학교,초,1
서울도성초등학교,서울도성초등학교,초,1
서울동광초등학교,서울동광초등학교,초,1
서울동답초등학교,서울동답초등학교,초,1
서울동북초,서울동북초등학교,초,1
서울동원중학교,서울동원중학교,중,1
서울등마초등학교,서울등마초등학교,초,1
서울등현초등학교,서울등현초등학교,초,1
서울디지털대학교,서울디지털대학교,대,1
서울망우초등학교,서울망우초등학교,초,1
서울매봉초등학교,서울매봉초등학교,초,1
서울명신초등학교,서울명신초등학교,초,1
서울명일초등학교,서울명일초등학교,초,1
서울문덕초등학교,서울문덕초등학교,초,1
서울문정초등학교,서울문정초등학교,초,1
서울문화예술대학교,서울문화예술대학교,대,1
서울미동초등학교,서울미동초등학교,초,1
서울방이초등학교,서울방이초등학교,초,1
서울배명중학교,서울배명중학교,중,1
서울번동초등학교,서울번동초등학교,초,1
서울봉은초등학교,서울봉은초등학교,초,1
서울봉천초등학교,서울봉천초등학교,초,1
서울불암초등학교,서울불암초등학교,초,1
서울빙상경기연맹,서울빙상경기연맹,실업,1
서울사대부고,서울사대부고등학교,고,1
서울사대부속초등학교,서울사대부속초등학교,초,1
서울사대부초,서울사대부초등학교,초,1
서울사범대부설중학교,서울사범대부설중학교,중,1
서울삼선초등,서울삼선초등,기타,1
서울삼선초등학교,서울삼선초등학교,초,1
서울삼양초등학교,서울삼양초등학교,초,1
서울삼전초등학교,서울삼전초등학교,초,1
서울상경초등학교,서울상경초등학교,초,1
서울상곡초등학교,서울상곡초등학교,초,1
서울상명초등학교,서울상명초등학교,초,1
서울상봉초등학교,서울상봉초등학교,초,1
서울상월초등학교,서울상월초등학교,초,1
서울서교초등학교,서울서교초등학교,초,1
서울선유중학교,서울선유중학교,중,1
서울선유초등학교,서울선유초등학교,초,1
서울성덕여자중학교,서울성덕여자중학교,중,1
서울성북초등학교,서울성북초등학교,초,1
서울성수고등학교,서울성수고등학교,고,1
서울성자초등학교,서울성자초등학교,초,1
서울세명초등학교,서울세명초등학교,초,1
서울세종초등학교,서울세종초등학교,초,1
서울소의초등학교,서울소의초등학교,초,1
서울송례초등학교,서울송례초등학교,초,1
서울송전초등학교,서울송전초등학교,초,1
서울송중초등학교,서울송중초등학교,초,1
서울송파초등학교,서울송파초등학교,초,1
서울수락중학교,서울수락중학교,중,1
서울수리초등학교,서울수리초등학교,초,1
서울수암초등학교,서울수암초등학교,초,1
서울신강초등학교,서울신강초등학교,초,1
서울신구초등학교,서울신구초등학교,초,1
서울신도초등학교,서울신도초등학교,초,1
서울신동초등학교,서울신동초등학교,초,1
서울신미림초등학교,서울신미림초등학교,초,1
서울신사초등학교,서울신사초등학교,초,1
서울신상도초등학교,서울신상도초등학교,초,1
서울신월초등학교,서울신월초등학교,초,1
서울신학초등학교,서울신학초등학교,초,1
서울신흥초등학교,서울신흥초등학교,초,1
서울아카데미 압구정,서울아카데미압구정,기타,1
서울안평초등학교,서울안평초등학교,초,1
서울애화학교,서울애화학교,기타,1
서울양동초등학교,서울양동초등학교,초,1
서울양천초등학교,서울양천초등학교,초,1
서울언남초등학교,서울언남초등학교,초,1
서울언북초등학교,서울언북초등학교,초,1
서울여대,서울여대학교,대,1
서울여자고등학교,서울여자고등학교,고,1
서울여자대학교부속유치원,서울여자대학교부속유치원,기타,1
서울역삼초,서울역삼초등학교,초,1
서울역촌초등학교,서울역촌초등학교,초,1
서울연가초등학교,서울연가초등학교,초,1
서울염창초등학교,서울염창초등학교,초,1
서울영본초등학교,서울영본초등학교,초,1
서울영원초등학교,서울영원초등학교,초,1
서울영풍초등학교,서울영풍초등학교,초,1
서울오현초등학교,서울오현초등학교,초,1
서울온수초등학교,서울온수초등학교,초,1
서울외국인학교,서울외국인학교,기타,1
서울외국인학교(SIS),서울외국인학교(SIS),기타,1
서울용동초,서울용동초등학교,초,1
서울용두초등학교,서울용두초등학교,초,1
서울용마초등학교,서울용마초등학교,초,1
서울용산초등학교,서울용산초등학교,초,1
서울용암초등학교,서울용암초등학교,초,1
서울우신초등학교,서울우신초등학교,초,1
서울우이초등학교,서울우이초등학교,초,1
서울우장초등학교,서울우장초등학교,초,1
서울원광초등학교,서울원광초등학교,초,1
서울원명초등학교,서울원명초등학교,초,1
서울월계초등학교,서울월계초등학교,초,1
서울월정초등학교,서울월정초등학교,초,1
서울은빛초등학교,서울은빛초등학교,초,1
서울을지초,서울을지초등학교,초,1
서울응봉초등학교,서울응봉초등학교,초,1
서울자양초등학교,서울자양초등학교,초,1
서울장안초등학교,서울장안초등학교,초,1
서울전동초등학교,서울전동초등학교,초,1
서울정덕초등학교,서울정덕초등학교,초,1
서울중목초등학교,서울중목초등학교,초,1
서울중현초등학교,서울중현초등학교,초,1
서울창도초,서울창도초등학교,초,1
서울청담초등학교,서울청담초등학교,초,1
서울청량초등학교,서울청량초등학교,초,1
서울청운초등학교,서울청운초등학교,초,1
서울청원초,서울청원초등학교,초,1
서울체육중학교,서울체육중학교,중,1
서울초당초등학교,서울초당초등학교,초,1
서울충무초등학교,서울충무초등학교,초,1
서울치현초등학교,서울치현초등학교,초,1
서울탑산초등학교,서울탑산초등학교,초,1
서울태랑중학교,서울태랑중학교,중,1
서울태릉빙상클럽,서울태릉빙상클럽,실업,1
서울특별시빙상경기연맹,서울특별시빙상경기연맹,실업,1
서울특별시빙상경기연맹(중등부),서울특별시빙상경기연맹(중등부),실업,1
서울포이초등학교,서울포이초등학교,초,1
서울풍성초등학교,서울풍성초등학교,초,1
서울하늘초등학교,서울하늘초등학교,초,1
서울한양중학교,서울한양중학교,중,1
서울행림초등학교,서울행림초등학교,초,1
서울행현초등학교,서울행현초등학교,초,1
서울홍파초등학교,서울홍파초등학교,초,1
서울휘경초등학교,서울휘경초등학교,초,1
서원대학교,서원대학교,대,1
서원주초등학교,서원주초등학교,초,1
서원초등학교,서원초등학교,초,1
서정중학교,서정중학교,중,1
서진여자고등학교,서진여자고등학교,고,1
서창복팀,서창복팀,기타,1
서천중학교,서천중학교,중,1
서천초,서천초등학교,초,1
서천초등학교,서천초등학교,초,1
서초고등학교,서초고등학교,고,1
서해초등학교,서해초등학교,초,1
서현고,서현고등학교,고,1
석계ECC유치원,석계ECC유치원,기타,1
석관고등학교,석관고등학교,고,1
석관중학교,석관중학교,중,1
석동초등학교,석동초등학교,초,1
석성초등학교,석성초등학교,초,1
석촌중학교,석촌중학교,중,1
선린초등학교,선린초등학교,초,1
선문대학교,선문대학교,대,1
선사고등학교,선사고등학교,고,1
선일여자고등학교,선일여자고등학교,고,1
선주중학교,선주중학교,중,1
선주초,선주초등학교,초,1
선주초등학교,선주초등학교,초,1
선학중학교,선학중학교,중,1
선행초,선행초등학교,초,1
선행초등학교,선행초등학교,초,1
성곡초등학교,성곡초등학교,초,1
성남여자고등학교,성남여자고등학교,고,1
성남정자초등학교,성남정자초등학교,초,1
성남초등학교,성남초등학교,초,1
성덕중학교,성덕중학교,중,1
성동중학교,성동중학교,중,1
성동초,성동초등학교,초,1
성동초등,성동초등,기타,1
성모여자고등학교,성모여자고등학교,고,1
성복초등학교,성복초등학교,초,1
성북초등학교,성북초등학교,초,1
성산초등학교,성산초등학교,초,1
성서중학교,성서중학교,중,1
성수초등학교,성수초등학교,초,1
성신여자중학교,성신여자중학교,중,1
성심보건고등학교,성심보건고등학교,고,1
성심유치원,성심유치원,기타,1
성애어린이집,성애어린이집,기타,1
성정초등학교,성정초등학교,초,1
성창여자고등학교,성창여자고등학교,고,1
성포고등학교,성포고등학교,고,1
성화중학교,성화중학교,중,1
세곡중학교,세곡중학교,중,1
세곡초등학교,세곡초등학교,초,1
세광고등학교,세광고등학교,고,1
세륜초등학교,세륜초등학교,초,1
세말초등학교,세말초등학교,초,1
세명고등학교,세명고등학교,고,1
세명대학교,세명대학교,대,1
세명초등학교,세명초등학교,초,1
세종보람초등학교,세종보람초등학교,초,1
세종사이버대학교,세종사이버대학교,대,1
세종시체육회,세종시체육회,실업,1
세종초등,세종초등,기타,1
세종특별자치시체육회,세종특별자치시체육회,실업,1
세화여고등학교,세화여고등학교,고,1
센텀중학교,센텀중학교,중,1
센텀초등학교,센텀초등학교,초,1
소양초등하교,소양초등하교,기타,1
소화초등학교,소화초등학교,초,1
솔뫼중학교,솔뫼중학교,중,1
솔밭초등학교,솔밭초등학교,초,1
솔빛초등학교,솔빛초등학교,초,1
솔샘고등학교 (구 미양고등학교),솔샘고등학교(구미양고등학교),기타,1
송곡여자중학교,송곡여자중학교,중,1
송남초,송남초등학교,초,1
송남초등학교,송남초등학교,초,1
송내중앙중학교,송내중앙중학교,중,1
송량유치원,송량유치원,기타,1
송북초등학교,송북초등학교,초,1
송빛초등학교,송빛초등학교,초,1
송파초등학교,송파초등학교,초,1
송호중학교,송호중학교,중,1
송호초등학교,송호초등학교,초,1
송화초,송화초등학교,초,1
수내초등학교,수내초등학교,초,1
수서중학교,수서중학교,중,1
수성초,수성초등학교,초,1
수영중학교,수영중학교,중,1
수영초등학교,수영초등학교,초,1
수완초등학교,수완초등학교,초,1
수원송림초등학교,수원송림초등학교,초,1
수원오현초등학교,수원오현초등학교,초,1
수원율현중학교,수원율현중학교,중,1
수원전산여자고등학교,수원전산여자고등학교,고,1
수월중학교,수월중학교,중,1
수유중학교,수유중학교,중,1
수일고등학교,수일고등학교,고,1
수일중학교,수일중학교,중,1
수입초등학교,수입초등학교,초,1
수정초등학교,수정초등학교,초,1
수주중학교,수주중학교,중,1
수진중학교,수진중학교,중,1
숙명여자중학교,숙명여자중학교,중,1
순천고등학교,순천고등학교,고,1
순천대석초등학교,순천대석초등학교,초,1
순천매산중학교,순천매산중학교,중,1
순천연향중학교,순천연향중학교,중,1
순천연향초등학교,순천연향초등학교,초,1
순천왕운중학교,순천왕운중학교,중,1
순천왕의중학교,순천왕의중학교,중,1
순천왕지초등학교,순천왕지초등학교,초,1
순천팔마중학교,순천팔마중학교,중,1
순천효천고등학교,순천효천고등학교,고,1
숭덕초등학교,숭덕초등학교,초,1
숭신초등학교,숭신초등학교,초,1
숭실대학교,숭실대학교,대,1
숭의중학교,숭의중학교,중,1
숲속체험생태학교,숲속체험생태학교,기타,1
스템랩,스템랩,기타,1
스포츠토토,스포츠토토,기타,1
승학초등학교,승학초등학교,초,1
시온고등학교,시온고등학교,고,1
시현초등학교,시현초등학교,초,1
신가초등학교,신가초등학교,초,1
신곡중학교,신곡중학교,중,1
신광유치원,신광유치원,기타,1
신구중학교,신구중학교,중,1
신금초,신금초등학교,초,1
신금초등학교,신금초등학교,초,1
신기중학교,신기중학교,중,1
신남중학교,신남중학교,중,1
신남초등,신남초등,기타,1
신동초,신동초등학교,초,1
신라대학교,신라대학교,대,1
신리초등학교,신리초등학교,초,1
신림중학교,신림중학교,중,1
신매초등학교,신매초등학교,초,1
신방학중학교,신방학중학교,중,1
신사중학교,신사중학교,중,1
신상도초,신상도초등학교,초,1
신상중학교,신상중학교,중,1
신서중학교,신서중학교,중,1
신석초등학교,신석초등학교,초,1
신성초등학교,신성초등학교,초,1
신송초등학교,신송초등학교,초,1
신용산초,신용산초등학교,초,1
신월중학교,신월중학교,중,1
신일중학교,신일중학교,중,1
신장고등학교,신장고등학교,고,1
신정고등학교,신정고등학교,고,1
신정중학교,신정중학교,중,1
신창중학교,신창중학교,중,1
신천중학교,신천중학교,중,1
신청초등학교,신청초등학교,초,1
신한대학교,신한대학교,대,1
신현초,신현초등학교,초,1
신현초등,신현초등,기타,1
신흥초,신흥초등학교,초,1
쌍문초등학교,쌍문초등학교,초,1
썬오일코퍼레이션,썬오일코퍼레이션,기타,1
